City,Temperature (°C),Feels Like  (°C),Max Temp  (°C),Min Temp  (°C),Humidity (%),Pressure (hPa),Wind (meter/sec),Date,Time,Latitude,Longitude
Belo_Horizonte,29.53000000000003,29.970000000000027,19.900000000000034,30.480000000000018,47,1006,3.09,28/11/2022,16:46,-19.91,-43.93
São_Paulo,17.79000000000002,18.110000000000014,16.910000000000025,20.75,95,1010,2.57,28/11/2022,16:46,-23.5505,-46.6333
Aracaju,26.49000000000001,26.49000000000001,26.49000000000001,26.49000000000001,83,1005,1.23,28/11/2022,16:46,-10.54,-37.04
Brasília,22.58000000000004,23.010000000000048,22.58000000000004,22.58000000000004,81,1005,2.68,28/11/2022,16:46,-15.46,-47.55
Curitiba,17.28000000000003,17.57000000000005,16.450000000000045,18.53000000000003,96,1011,4.63,28/11/2022,16:46,-25.25,-49.16
Natal,29.560000000000002,34.89000000000004,29.560000000000002,29.560000000000002,74,1006,6.25,28/11/2022,16:46,-5.47,-35.12
Goiânia,26.900000000000034,27.689999999999998,26.410000000000025,26.900000000000034,56,1004,2.54,28/11/2022,16:46,-16.4,-49.15
Fortaleza,28.140000000000043,31.82000000000005,28.140000000000043,28.140000000000043,76,1006,6.06,28/11/2022,16:46,-3.43,-38.32
Belo_Horizonte,29.53000000000003,29.970000000000027,19.900000000000034,30.480000000000018,47,1006,3.09,28/11/2022,16:46,-19.91,-43.93
São_Paulo,17.79000000000002,18.110000000000014,16.910000000000025,20.75,95,1010,2.57,28/11/2022,16:46,-23.5505,-46.6333
Aracaju,26.49000000000001,26.49000000000001,26.49000000000001,26.49000000000001,83,1005,1.23,28/11/2022,16:46,-10.54,-37.04
Brasília,22.58000000000004,23.010000000000048,22.58000000000004,22.58000000000004,81,1005,2.68,28/11/2022,16:46,-15.46,-47.55
Curitiba,17.28000000000003,17.57000000000005,16.450000000000045,18.53000000000003,96,1011,4.63,28/11/2022,16:46,-25.25,-49.16
